,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
675,ASUS,ZenBook,Intel,Core i5,11th,16.0,LPDDR4,512,0,Windows,64,0,ThinNlight,13.3,0,No,No,1104.87,1364.87,19,0.0,0,0
676,DELL,Core,Intel,Core i5,11th,16.0,DDR4,512,0,Windows,32,2,Casual,15.6,0,No,No,955.747,1149.2,16,0.0,0,0
677,Lenovo,Ryzen,AMD,Ryzen 7,,16.0,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,950.794,1468.87,35,3.0,4,1
678,ASUS,ExpertBook,Intel,Core i7,10th,16.0,LPDDR3,1024,0,Windows,64,0,Casual,14.0,0,No,No,2014.87,2248.87,10,5.0,3,0
679,HP,Spectre,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,No,1638.0,1976.5459999999998,17,5.0,2,1
680,Lenovo,ThinkPad,Intel,Core i7,10th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,13.3,0,No,No,2109.8869999999997,2326.987,9,0.0,0,0
681,ASUS,Core,Intel,Core i3,10th,4.0,DDR4,0,1024,Windows,32,0,ThinNlight,15.6,0,No,No,441.87,519.87,15,3.7,43,7
685,ASUS,ASUS,Intel,Core i5,11th,16.0,DDR4,512,0,Windows,64,6,Casual,15.6,1,No,No,1156.87,1689.87,31,0.0,0,0
686,ASUS,AMD,AMD,Ryzen 5,,16.0,DDR4,512,0,Windows,64,0,Casual,13.3,1,No,No,1052.87,1364.87,22,0.0,0,0
687,Avita,PURA,AMD,APU Dual,,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,324.87,435.37,25,3.7,1657,234
688,DELL,DELL,AMD,Ryzen 3,,8.0,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,571.87,649.987,12,0.0,0,0
689,HP,HP,Intel,Core i5,11th,16.0,DDR4,512,0,Windows,64,0,ThinNlight,13.5,1,Yes,Yes,1494.9869999999999,1796.158,16,0.0,0,0
690,DELL,Core,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,No,570.6999999999999,742.235,23,0.0,0,0
